row.number,subject,trial,color,FID,AD,reward.level,shock.level
961,1,49,4,53,35,0,0
962,1,50,4,51,65,0,0
963,1,51,4,32,7,0,0
964,1,52,4,48,42,0,0
965,1,53,1,63,69,1,2
966,1,54,3,38,14,1,2
967,1,55,2,32,46,1,2
968,1,56,1,69,65,1,2
969,1,57,2,53,41,1,1
970,1,58,3,37,28,1,1
971,1,59,1,44,65,1,1
972,1,60,3,37,14,1,1
973,1,61,3,39,20,2,2
974,1,62,1,65,71,2,2
975,1,63,2,55,41,2,2
976,1,64,3,35,20,2,2
977,1,65,4,55,69,0,0
978,1,66,4,55,44,0,0
979,1,67,4,14,28,0,0
980,1,68,4,52,33,0,0
981,1,69,1,72,63,2,2
982,1,70,3,42,22,2,2
983,1,71,2,53,39,2,2
984,1,72,1,68,57,2,2
985,1,73,3,28,15,2,1
986,1,74,1,27,63,2,1
987,1,75,2,58,33,2,1
988,1,76,1,63,52,2,1
989,1,77,2,52,42,1,2
990,1,78,3,30,9,1,2
991,1,79,2,70,30,1,2
992,1,80,3,33,9,1,2
993,1,81,1,68,52,2,1
994,1,82,1,55,69,2,1
995,1,83,3,22,15,2,1
996,1,84,2,59,33,2,1
997,1,85,2,40,39,1,1
998,1,86,3,65,15,1,1
999,1,87,1,49,63,1,1
1000,1,88,2,57,39,1,1
1001,1,89,4,29,15,0,0
1002,1,90,4,63,57,0,0
1003,1,91,4,69,57,0,0
1004,1,92,4,16,22,0,0
1005,1,93,2,55,39,1,2
1006,1,94,2,59,39,1,2
1007,1,95,1,67,63,1,2
1008,1,96,3,39,22,1,2
1009,2,49,4,72,35,0,0
1010,2,50,4,71,65,0,0
1011,2,51,4,48,7,0,0
1012,2,52,4,28,42,0,0
1013,2,53,1,63,69,1,2
1014,2,54,3,44,14,1,2
1015,2,55,2,56,46,1,2
1016,2,56,1,71,65,1,2
1017,2,57,2,58,41,1,1
1018,2,58,3,34,28,1,1
1019,2,59,1,74,65,1,1
1020,2,60,3,36,14,1,1
1021,2,61,3,48,20,2,2
1022,2,62,1,65,71,2,2
1023,2,63,2,65,41,2,2
1024,2,64,3,52,20,2,2
1025,2,65,4,75,69,0,0
1026,2,66,4,59,44,0,0
1027,2,67,4,42,28,0,0
1028,2,68,4,57,33,0,0
1029,2,69,1,77,63,2,2
1030,2,70,3,44,22,2,2
1031,2,71,2,53,39,2,2
1032,2,72,1,75,57,2,2
1033,2,73,3,36,15,2,1
1034,2,74,1,71,63,2,1
1035,2,75,2,55,33,2,1
1036,2,76,1,74,52,2,1
1037,2,77,2,55,42,1,2
1038,2,78,3,67,9,1,2
1039,2,79,2,49,30,1,2
1040,2,80,3,41,9,1,2
1041,2,81,1,75,52,2,1
1042,2,82,1,63,69,2,1
1043,2,83,3,38,15,2,1
1044,2,84,2,53,33,2,1
1045,2,85,2,48,39,1,1
1046,2,86,3,39,15,1,1
1047,2,87,1,73,63,1,1
1048,2,88,2,54,39,1,1
1049,2,89,4,71,15,0,0
1050,2,90,4,71,57,0,0
1051,2,91,4,66,57,0,0
1052,2,92,4,34,22,0,0
1053,2,93,2,58,39,1,2
1054,2,94,2,50,39,1,2
1055,2,95,1,73,63,1,2
1056,2,96,3,37,22,1,2
1057,3,49,4,21,35,0,0
1058,3,50,4,36,65,0,0
1059,3,51,4,20,7,0,0
1060,3,52,4,48,42,0,0
1061,3,53,1,63,69,1,2
1062,3,54,3,33,14,1,2
1063,3,55,2,40,46,1,2
1064,3,56,1,74,65,1,2
1065,3,57,2,48,41,1,1
1066,3,58,3,14,28,1,1
1067,3,59,1,73,65,1,1
1068,3,60,3,27,14,1,1
1069,3,61,3,35,20,2,2
1070,3,62,1,72,71,2,2
1071,3,63,2,51,41,2,2
1072,3,64,3,39,20,2,2
1073,3,65,4,74,69,0,0
1074,3,66,4,52,44,0,0
1075,3,67,4,22,28,0,0
1076,3,68,4,49,33,0,0
1077,3,69,1,72,63,2,2
1078,3,70,3,35,22,2,2
1079,3,71,2,48,39,2,2
1080,3,72,1,72,57,2,2
1081,3,73,3,30,15,2,1
1082,3,74,1,71,63,2,1
1083,3,75,2,48,33,2,1
1084,3,76,1,68,52,2,1
1085,3,77,2,46,42,1,2
1086,3,78,3,40,9,1,2
1087,3,79,2,48,30,1,2
1088,3,80,3,39,9,1,2
1089,3,81,1,68,52,2,1
1090,3,82,1,55,69,2,1
1091,3,83,3,30,15,2,1
1092,3,84,2,44,33,2,1
1093,3,85,2,43,39,1,1
1094,3,86,3,24,15,1,1
1095,3,87,1,69,63,1,1
1096,3,88,2,43,39,1,1
1097,3,89,4,30,15,0,0
1098,3,90,4,67,57,0,0
1099,3,91,4,68,57,0,0
1100,3,92,4,28,22,0,0
1101,3,93,2,46,39,1,2
1102,3,94,2,44,39,1,2
1103,3,95,1,69,63,1,2
1104,3,96,3,36,22,1,2
1105,4,49,4,0,35,0,0
1106,4,50,4,51,65,0,0
1107,4,51,4,25,7,0,0
1108,4,52,4,28,42,0,0
1109,4,53,1,70,69,1,2
1110,4,54,3,34,14,1,2
1111,4,55,2,54,46,1,2
1112,4,56,1,74,65,1,2
1113,4,57,2,57,41,1,1
1114,4,58,3,22,28,1,1
1115,4,59,1,72,65,1,1
1116,4,60,3,33,14,1,1
1117,4,61,3,41,20,2,2
1118,4,62,1,72,71,2,2
1119,4,63,2,59,41,2,2
1120,4,64,3,37,20,2,2
1121,4,65,4,63,69,0,0
1122,4,66,4,54,44,0,0
1123,4,67,4,0,28,0,0
1124,4,68,4,56,33,0,0
1125,4,69,1,75,63,2,2
1126,4,70,3,40,22,2,2
1127,4,71,2,54,39,2,2
1128,4,72,1,72,57,2,2
1129,4,73,3,28,15,2,1
1130,4,74,1,70,63,2,1
1131,4,75,2,55,33,2,1
1132,4,76,1,71,52,2,1
1133,4,77,2,53,42,1,2
1134,4,78,3,31,9,1,2
1135,4,79,2,54,30,1,2
1136,4,80,3,41,9,1,2
1137,4,81,1,69,52,2,1
1138,4,82,1,55,69,2,1
1139,4,83,3,26,15,2,1
1140,4,84,2,52,33,2,1
1141,4,85,2,48,39,1,1
1142,4,86,3,30,15,1,1
1143,4,87,1,64,63,1,1
1144,4,88,2,50,39,1,1
1145,4,89,4,25,15,0,0
1146,4,90,4,68,57,0,0
1147,4,91,4,68,57,0,0
1148,4,92,4,23,22,0,0
1149,4,93,2,55,39,1,2
1150,4,94,2,60,39,1,2
1151,4,95,1,69,63,1,2
1152,4,96,3,38,22,1,2
1153,5,49,4,0,35,0,0
1154,5,50,4,0,65,0,0
1155,5,51,4,0,7,0,0
1156,5,52,4,43,42,0,0
1157,5,53,1,73,69,1,2
1158,5,54,3,23,14,1,2
1159,5,55,2,52,46,1,2
1160,5,56,1,76,65,1,2
1161,5,57,2,50,41,1,1
1162,5,58,3,0,28,1,1
1163,5,59,1,78,65,1,1
1164,5,60,3,31,14,1,1
1165,5,61,3,41,20,2,2
1166,5,62,1,65,71,2,2
1167,5,63,2,51,41,2,2
1168,5,64,3,34,20,2,2
1169,5,65,4,18,69,0,0
1170,5,66,4,49,44,0,0
1171,5,67,4,32,28,0,0
1172,5,68,4,51,33,0,0
1173,5,69,1,74,63,2,2
1174,5,70,3,44,22,2,2
1175,5,71,2,57,39,2,2
1176,5,72,1,68,57,2,2
1177,5,73,3,38,15,2,1
1178,5,74,1,74,63,2,1
1179,5,75,2,47,33,2,1
1180,5,76,1,71,52,2,1
1181,5,77,2,48,42,1,2
1182,5,78,3,37,9,1,2
1183,5,79,2,45,30,1,2
1184,5,80,3,36,9,1,2
1185,5,81,1,71,52,2,1
1186,5,82,1,55,69,2,1
1187,5,83,3,33,15,2,1
1188,5,84,2,48,33,2,1
1189,5,85,2,50,39,1,1
