Trial,PredatorSpeed,FID,AD,RewardLevel,ShockLevel,subject
1,1,42,8,2,1,AA374_ses-v1
2,1,24,17,2,1,AA374_ses-v1
3,1,31,13,2,1,AA374_ses-v1
4,2,45.64,64,2,1,AA374_ses-v1
5,2,54.76,67,2,1,AA374_ses-v1
6,2,71,56,2,1,AA374_ses-v1
7,2,66,53,0,0,AA374_ses-v1
8,1,37,24,0,0,AA374_ses-v1
9,1,31,11,0,0,AA374_ses-v1
10,2,53.76,66,0,0,AA374_ses-v1
11,2,60.88,67,0,0,AA374_ses-v1
12,1,31,11,0,0,AA374_ses-v1
13,2,68,67,1,2,AA374_ses-v1
14,1,25,11,1,2,AA374_ses-v1
15,1,25,5,1,2,AA374_ses-v1
16,2,68,66,1,2,AA374_ses-v1
17,2,70,67,1,2,AA374_ses-v1
18,1,32,21,1,2,AA374_ses-v1
19,2,68,61,1,1,AA374_ses-v1
20,2,68,63,1,1,AA374_ses-v1
21,2,54.76,67,1,1,AA374_ses-v1
22,1,31,9,1,1,AA374_ses-v1
23,1,26,18,1,1,AA374_ses-v1
24,1,26,10,1,1,AA374_ses-v1
25,2,64,53,2,2,AA374_ses-v1
26,1,27,14,2,2,AA374_ses-v1
27,2,67,59,2,2,AA374_ses-v1
28,1,26,6,2,2,AA374_ses-v1
29,1,18,15,2,2,AA374_ses-v1
30,2,68,55,2,2,AA374_ses-v1
31,2,67,54,1,1,AA374_ses-v1
32,2,63,62,1,1,AA374_ses-v1
33,1,24,5,1,1,AA374_ses-v1
34,1,21,6,1,1,AA374_ses-v1
35,2,65,62,1,1,AA374_ses-v1
36,1,24,10,1,1,AA374_ses-v1
37,1,20,11,1,2,AA374_ses-v1
38,1,21,18,1,2,AA374_ses-v1
39,1,24,11,1,2,AA374_ses-v1
40,2,69,68,1,2,AA374_ses-v1
41,2,70,66,1,2,AA374_ses-v1
42,2,70,49,1,2,AA374_ses-v1
43,2,64,64,2,2,AA374_ses-v1
44,1,23,14,2,2,AA374_ses-v1
45,2,70,48,2,2,AA374_ses-v1
46,1,26,12,2,2,AA374_ses-v1
47,2,60.88,67,2,2,AA374_ses-v1
48,1,16.76,29,2,2,AA374_ses-v1
49,2,71,47,0,0,AA374_ses-v1
50,2,68,55,0,0,AA374_ses-v1
51,1,26,11,0,0,AA374_ses-v1
52,1,26,12,0,0,AA374_ses-v1
