row.number,subject,trial,color,FID,AD
1,1,1,3,0,26
2,1,2,2,56,42
3,1,3,1,55,69
4,1,4,2,32,46
5,1,5,1,40,54
6,1,6,3,64,7
7,1,7,2,32,46
8,1,8,1,45,59
9,1,9,4,54,41
10,1,10,4,50,14
11,1,11,4,31,20
12,1,12,4,40,54
13,1,13,2,55,41
14,1,14,1,51,65
15,1,15,2,55,35
16,1,16,3,57,14
17,1,17,1,49,63
18,1,18,3,65,3
19,1,19,2,40,35
20,1,20,1,45,59
21,1,21,4,42,41
22,1,22,4,53,20
23,1,23,4,41,14
24,1,24,4,40,54
25,1,25,2,57,42
26,1,26,1,51,65
27,1,27,2,54,41
28,1,28,3,42,20
29,1,29,3,37,14
30,1,30,1,51,65
31,1,31,2,45,29
32,1,32,1,51,65
33,1,33,2,61,41
34,1,34,3,51,14
35,1,35,1,73,65
36,1,36,3,47,14
37,1,37,4,28,20
38,1,38,4,49,35
39,1,39,4,36,50
40,1,40,4,68,63
41,1,41,3,47,7
42,1,42,1,57,71
43,1,43,2,49,41
44,1,44,3,44,14
45,1,45,2,34,40
46,1,46,1,71,59
47,1,47,3,31,14
48,1,48,1,72,59
49,2,1,3,68,26
50,2,2,2,53,42
51,2,3,1,48,69
52,2,4,2,57,46
53,2,5,1,65,54
54,2,6,3,38,7
55,2,7,2,0,46
56,2,8,1,67,59
57,2,9,4,62,41
58,2,10,4,33,14
59,2,11,4,29,20
60,2,12,4,65,54
61,2,13,2,57,41
62,2,14,1,69,65
63,2,15,2,53,35
64,2,16,3,42,14
65,2,17,1,49,63
66,2,18,3,77,3
67,2,19,2,50,35
68,2,20,1,73,59
69,2,21,4,47,41
70,2,22,4,40,20
71,2,23,4,44,14
72,2,24,4,70,54
73,2,25,2,54,42
74,2,26,1,66,65
75,2,27,2,55,41
76,2,28,3,46,20
77,2,29,3,32,14
78,2,30,1,70,65
79,2,31,2,51,29
80,2,32,1,70,65
81,2,33,2,54,41
82,2,34,3,36,14
83,2,35,1,71,65
84,2,36,3,37,14
85,2,37,4,25,20
86,2,38,4,54,35
87,2,39,4,29,50
88,2,40,4,73,63
89,2,41,3,43,7
90,2,42,1,72,71
91,2,43,2,49,41
92,2,44,3,42,14
93,2,45,2,50,40
94,2,46,1,72,59
95,2,47,3,31,14
96,2,48,1,71,59
97,3,1,3,47,26
98,3,2,2,36,42
99,3,3,1,55,69
100,3,4,2,2,46
101,3,5,1,76,54
102,3,6,3,41,7
103,3,7,2,59,46
104,3,8,1,64,59
105,3,9,4,55,41
106,3,10,4,29,14
107,3,11,4,25,20
108,3,12,4,70,54
109,3,13,2,63,41
110,3,14,1,29,65
111,3,15,2,53,35
112,3,16,3,39,14
113,3,17,1,64,63
114,3,18,3,40,3
115,3,19,2,45,35
116,3,20,1,66,59
117,3,21,4,46,41
118,3,22,4,21,20
119,3,23,4,26,14
120,3,24,4,63,54
121,3,25,2,53,42
122,3,26,1,66,65
123,3,27,2,49,41
124,3,28,3,37,20
125,3,29,3,27,14
126,3,30,1,70,65
127,3,31,2,48,29
128,3,32,1,66,65
129,3,33,2,35,41
130,3,34,3,34,14
131,3,35,1,51,65
132,3,36,3,32,14
133,3,37,4,26,20
134,3,38,4,50,35
135,3,39,4,0,50
136,3,40,4,71,63
137,3,41,3,35,7
138,3,42,1,57,71
139,3,43,2,53,41
140,3,44,3,32,14
141,3,45,2,47,40
142,3,46,1,72,59
143,3,47,3,25,14
144,3,48,1,69,59
145,4,1,3,49,26
146,4,2,2,36,42
147,4,3,1,55,69
148,4,4,2,40,46
149,4,5,1,48,54
150,4,6,3,45,7
151,4,7,2,69,46
152,4,8,1,70,59
153,4,9,4,35,41
154,4,10,4,32,14
155,4,11,4,32,20
156,4,12,4,70,54
157,4,13,2,64,41
158,4,14,1,69,65
159,4,15,2,48,35
160,4,16,3,36,14
161,4,17,1,71,63
162,4,18,3,41,3
163,4,19,2,55,35
164,4,20,1,68,59
165,4,21,4,27,41
166,4,22,4,26,20
167,4,23,4,30,14
168,4,24,4,73,54
169,4,25,2,54,42
170,4,26,1,70,65
171,4,27,2,61,41
172,4,28,3,34,20
173,4,29,3,32,14
174,4,30,1,0,65
175,4,31,2,64,29
176,4,32,1,73,65
177,4,33,2,57,41
178,4,34,3,37,14
179,4,35,1,71,65
180,4,36,3,37,14
181,4,37,4,27,20
182,4,38,4,57,35
183,4,39,4,14,50
184,4,40,4,70,63
185,4,41,3,43,7
186,4,42,1,0,71
187,4,43,2,52,41
188,4,44,3,38,14
189,4,45,2,50,40
190,4,46,1,75,59
191,4,47,3,31,14
192,4,48,1,72,59
193,5,1,3,55,26
194,5,2,2,67,42
195,5,3,1,0,69
196,5,4,2,0,46
197,5,5,1,72,54
198,5,6,3,48,7
199,5,7,2,52,46
200,5,8,1,65,59
201,5,9,4,0,41
202,5,10,4,0,14
203,5,11,4,0,20
204,5,12,4,18,54
205,5,13,2,51,41
206,5,14,1,51,65
207,5,15,2,53,35
208,5,16,3,38,14
209,5,17,1,67,63
210,5,18,3,38,3
211,5,19,2,51,35
212,5,20,1,69,59
213,5,21,4,0,41
214,5,22,4,21,20
215,5,23,4,27,14
216,5,24,4,67,54
217,5,25,2,50,42
218,5,26,1,0,65
219,5,27,2,50,41
220,5,28,3,38,20
221,5,29,3,29,14
222,5,30,1,66,65
223,5,31,2,51,29
224,5,32,1,21,65
225,5,33,2,51,41
226,5,34,3,40,14
227,5,35,1,44,65
228,5,36,3,39,14
229,5,37,4,21,20
230,5,38,4,21,35
231,5,39,4,0,50
232,5,40,4,69,63
233,5,41,3,34,7
234,5,42,1,0,71
235,5,43,2,57,41
236,5,44,3,31,14
237,5,45,2,51,40
238,5,46,1,71,59
239,5,47,3,24,14
240,5,48,1,67,59
241,6,1,3,67,26
242,6,2,2,68,42
243,6,3,1,48,69
244,6,4,2,60,46
245,6,5,1,72,54
246,6,6,3,40,7
247,6,7,2,53,46
248,6,8,1,65,59
249,6,9,4,46,41
250,6,10,4,24,14
251,6,11,4,28,20
252,6,12,4,59,54
253,6,13,2,60,41
254,6,14,1,59,65
255,6,15,2,58,35
256,6,16,3,43,14
257,6,17,1,71,63
258,6,18,3,44,3
259,6,19,2,59,35
260,6,20,1,70,59
261,6,21,4,35,41
262,6,22,4,6,20
263,6,23,4,24,14
264,6,24,4,70,54
265,6,25,2,51,42
266,6,26,1,69,65
267,6,27,2,58,41
268,6,28,3,53,20
269,6,29,3,32,14
270,6,30,1,66,65
271,6,31,2,54,29
272,6,32,1,44,65
273,6,33,2,54,41
274,6,34,3,48,14
275,6,35,1,70,65
276,6,36,3,43,14
277,6,37,4,14,20
278,6,38,4,41,35
279,6,39,4,44,50
280,6,40,4,12,63
281,6,41,3,41,7
282,6,42,1,57,71
283,6,43,2,56,41
284,6,44,3,49,14
285,6,45,2,51,40
286,6,46,1,73,59
287,6,47,3,30,14
288,6,48,1,69,59
289,7,1,3,60,26
290,7,2,2,64,42
291,7,3,1,55,69
292,7,4,2,64,46
293,7,5,1,71,54
294,7,6,3,50,7
295,7,7,2,55,46
296,7,8,1,64,59
297,7,9,4,47,41
298,7,10,4,42,14
299,7,11,4,24,20
300,7,12,4,55,54
301,7,13,2,51,41
302,7,14,1,66,65
303,7,15,2,57,35
304,7,16,3,57,14
305,7,17,1,57,63
306,7,18,3,55,3
307,7,19,2,57,35
308,7,20,1,71,59
309,7,21,4,45,41
310,7,22,4,49,20
311,7,23,4,33,14
312,7,24,4,62,54
313,7,25,2,55,42
314,7,26,1,69,65
315,7,27,2,64,41
316,7,28,3,52,20
317,7,29,3,35,14
318,7,30,1,51,65
319,7,31,2,64,29
320,7,32,1,69,65
321,7,33,2,61,41
322,7,34,3,47,14
323,7,35,1,71,65
324,7,36,3,47,14
325,7,37,4,33,20
326,7,38,4,54,35
327,7,39,4,54,50
328,7,40,4,70,63
329,7,41,3,54,7
330,7,42,1,65,71
331,7,43,2,73,41
332,7,44,3,51,14
333,7,45,2,56,40
334,7,46,1,69,59
335,7,47,3,35,14
336,7,48,1,66,59
337,8,1,3,59,26
338,8,2,2,59,42
339,8,3,1,48,69
340,8,4,2,40,46
341,8,5,1,72,54
342,8,6,3,50,7
343,8,7,2,47,46
344,8,8,1,45,59
345,8,9,4,50,41
346,8,10,4,26,14
347,8,11,4,6,20
348,8,12,4,66,54
349,8,13,2,70,41
350,8,14,1,69,65
351,8,15,2,61,35
352,8,16,3,50,14
353,8,17,1,27,63
354,8,18,3,40,3
355,8,19,2,49,35
356,8,20,1,69,59
357,8,21,4,50,41
358,8,22,4,14,20
359,8,23,4,22,14
360,8,24,4,70,54
361,8,25,2,51,42
362,8,26,1,51,65
363,8,27,2,55,41
364,8,28,3,38,20
365,8,29,3,29,14
366,8,30,1,71,65
367,8,31,2,42,29
368,8,32,1,51,65
369,8,33,2,52,41
370,8,34,3,42,14
371,8,35,1,77,65
372,8,36,3,35,14
373,8,37,4,28,20
374,8,38,4,48,35
375,8,39,4,36,50
376,8,40,4,71,63
377,8,41,3,45,7
378,8,42,1,72,71
379,8,43,2,63,41
380,8,44,3,43,14
381,8,45,2,48,40
382,8,46,1,75,59
383,8,47,3,35,14
384,8,48,1,72,59
385,9,1,3,44,26
386,9,2,2,28,42
387,9,3,1,77,69
388,9,4,2,57,46
389,9,5,1,69,54
390,9,6,3,15,7
391,9,7,2,40,46
392,9,8,1,64,59
393,9,9,4,35,41
394,9,10,4,28,14
395,9,11,4,30,20
396,9,12,4,65,54
397,9,13,2,53,41
398,9,14,1,75,65
399,9,15,2,53,35
400,9,16,3,41,14
401,9,17,1,49,63
402,9,18,3,39,3
403,9,19,2,39,35
404,9,20,1,79,59
405,9,21,4,35,41
