row.number,subject,trial,color,FID,AD,reward.level,shock.level
1,1,1,3,0,26,1,1
2,1,2,2,56,42,1,1
3,1,3,1,55,69,1,1
4,1,4,2,32,46,1,1
5,1,5,1,40,54,2,1
6,1,6,3,64,7,2,1
7,1,7,2,32,46,2,1
8,1,8,1,45,59,2,1
9,1,9,4,54,41,0,0
10,1,10,4,50,14,0,0
11,1,11,4,31,20,0,0
12,1,12,4,40,54,0,0
13,1,13,2,55,41,2,2
14,1,14,1,51,65,2,2
15,1,15,2,55,35,2,2
16,1,16,3,57,14,2,2
17,1,17,1,49,63,1,2
18,1,18,3,65,3,1,2
19,1,19,2,40,35,1,2
20,1,20,1,45,59,1,2
21,1,21,4,42,41,0,0
22,1,22,4,53,20,0,0
23,1,23,4,41,14,0,0
24,1,24,4,40,54,0,0
25,1,25,2,57,42,2,2
26,1,26,1,51,65,2,2
27,1,27,2,54,41,2,2
28,1,28,3,42,20,2,2
29,1,29,3,37,14,2,1
30,1,30,1,51,65,2,1
31,1,31,2,45,29,2,1
32,1,32,1,51,65,2,1
33,1,33,2,61,41,2,2
34,1,34,3,51,14,2,2
35,1,35,1,73,65,2,2
36,1,36,3,47,14,2,2
37,1,37,4,28,20,0,0
38,1,38,4,49,35,0,0
39,1,39,4,36,50,0,0
40,1,40,4,68,63,0,0
41,1,41,3,47,7,1,2
42,1,42,1,57,71,1,2
43,1,43,2,49,41,1,2
44,1,44,3,44,14,1,2
45,1,45,2,34,40,2,1
46,1,46,1,71,59,2,1
47,1,47,3,31,14,2,1
48,1,48,1,72,59,2,1
49,2,1,3,68,26,1,1
50,2,2,2,53,42,1,1
51,2,3,1,48,69,1,1
52,2,4,2,57,46,1,1
53,2,5,1,65,54,2,1
54,2,6,3,38,7,2,1
55,2,7,2,0,46,2,1
56,2,8,1,67,59,2,1
57,2,9,4,62,41,0,0
58,2,10,4,33,14,0,0
59,2,11,4,29,20,0,0
60,2,12,4,65,54,0,0
61,2,13,2,57,41,2,2
62,2,14,1,69,65,2,2
63,2,15,2,53,35,2,2
64,2,16,3,42,14,2,2
65,2,17,1,49,63,1,2
66,2,18,3,77,3,1,2
67,2,19,2,50,35,1,2
68,2,20,1,73,59,1,2
69,2,21,4,47,41,0,0
70,2,22,4,40,20,0,0
71,2,23,4,44,14,0,0
72,2,24,4,70,54,0,0
73,2,25,2,54,42,2,2
74,2,26,1,66,65,2,2
75,2,27,2,55,41,2,2
76,2,28,3,46,20,2,2
77,2,29,3,32,14,2,1
78,2,30,1,70,65,2,1
79,2,31,2,51,29,2,1
80,2,32,1,70,65,2,1
81,2,33,2,54,41,2,2
82,2,34,3,36,14,2,2
83,2,35,1,71,65,2,2
84,2,36,3,37,14,2,2
85,2,37,4,25,20,0,0
86,2,38,4,54,35,0,0
87,2,39,4,29,50,0,0
88,2,40,4,73,63,0,0
89,2,41,3,43,7,1,2
90,2,42,1,72,71,1,2
91,2,43,2,49,41,1,2
92,2,44,3,42,14,1,2
